# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     1.86261	           1	    -143.945	     10.7422	        25.5
     1.86054	           1	     -109.57	     27.9297	          51
     1.85901	           1	    -118.164	     19.3359	          34
     1.85835	           1	    -113.867	     23.6328	          17
     1.85829	           1	    -131.055	     6.44531	          34
     1.85801	           1	    -113.867	     36.5234	          17
     1.85686	           1	    -126.758	     19.3359	          34
     1.85213	           1	    -113.867	     32.2266	         8.5
     1.85094	           1	     -109.57	     36.5234	       12.75
     1.85047	           1	    -122.461	     19.3359	          34
     1.84892	           1	    -131.055	     6.44531	        25.5
      1.8486	           1	    -126.758	     6.44531	        25.5
     1.84844	           1	    -113.867	     36.5234	       12.75
     1.84701	           1	    -126.758	     15.0391	          34
     1.84677	           1	    -122.461	     15.0391	       29.75
     1.84598	           1	    -118.164	     32.2266	        4.25
     1.84516	           1	    -118.164	     36.5234	         8.5
     1.84478	           1	    -118.164	     10.7422	       29.75
     1.84429	           1	     -109.57	     32.2266	       21.25
     1.84412	           1	    -118.164	     32.2266	       12.75
     1.84337	           1	    -135.352	     27.9297	       29.75
     1.84337	           1	    -135.352	     23.6328	          34
     1.84057	           1	     -109.57	     27.9297	       21.25
     1.84034	           1	    -118.164	     23.6328	          17
     1.83758	           1	    -113.867	     32.2266	        4.25
     1.83662	           1	    -131.055	     10.7422	        42.5
     1.83621	           1	     -109.57	     27.9297	        42.5
     1.83394	           1	    -113.867	     15.0391	       21.25
     1.83279	           1	    -118.164	     10.7422	        25.5
     1.83256	           1	    -118.164	     32.2266	         8.5
     1.83232	           1	    -126.758	     6.44531	          34
     1.83187	           1	    -143.945	     10.7422	       21.25
      1.8308	           1	    -122.461	     36.5234	        25.5
     1.83076	           1	    -118.164	     27.9297	          17
     1.82925	           1	    -135.352	     23.6328	        25.5
     1.82925	           1	    -126.758	     23.6328	       12.75
     1.82834	           1	    -126.758	     32.2266	       21.25
      1.8253	           1	     -109.57	     40.8203	        4.25
       1.825	           1	     -109.57	     23.6328	       12.75
     1.82432	           1	    -113.867	     19.3359	          17
      1.8242	           1	    -131.055	     19.3359	          34
     1.82414	           1	    -113.867	     10.7422	          34
