# amide: ROI Analysis File - generated on Fri Aug 20 14:32:50 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     9.28181	           1	     135.352	    -6.44531	      -21.25
      9.2796	           1	     148.242	     2.14844	         -34
     9.27159	           1	     135.352	     36.5234	          17
     9.26882	           1	     135.352	     36.5234	        4.25
     9.26456	           1	     148.242	     23.6328	       38.25
     9.25682	           1	     131.055	     6.44531	         -34
      9.2567	           1	     139.648	     36.5234	        25.5
     9.22829	           1	     143.945	     19.3359	        42.5
     9.22674	           1	     139.648	     32.2266	       38.25
     9.22561	           1	     143.945	    -6.44531	       -25.5
     9.20591	           1	     113.867	     32.2266	        42.5
     9.20419	           1	     139.648	     2.14844	         -34
     9.20348	           1	     135.352	     32.2266	      -12.75
     9.17914	           1	     139.648	     23.6328	       38.25
      9.1771	           1	     131.055	     40.8203	       12.75
     9.16005	           1	     131.055	     36.5234	         8.5
      9.1449	           1	     122.461	     27.9297	       38.25
     9.14162	           1	     113.867	     32.2266	          34
     9.11943	           1	     152.539	     27.9297	       -4.25
     9.10888	           1	     139.648	    -2.14844	         -17
     9.10115	           1	     135.352	     36.5234	        -8.5
      9.0898	           1	     135.352	     2.14844	       -25.5
     9.08448	           1	     139.648	     6.44531	         -34
     9.08202	           1	     131.055	     36.5234	       21.25
     9.07689	           1	     135.352	     40.8203	       21.25
     9.05698	           1	     131.055	     36.5234	          17
     9.03432	           1	     131.055	     36.5234	        4.25
     9.03382	           1	     148.242	    -2.14844	         -17
     9.01931	           1	     131.055	     32.2266	      -12.75
     9.01299	           1	     135.352	    -10.7422	      -29.75
     9.01209	           1	     139.648	     36.5234	      -12.75
     9.00329	           1	     135.352	     6.44531	         -34
      8.9983	           1	     135.352	     40.8203	       12.75
     8.99629	           1	     143.945	    -6.44531	         -17
     8.99283	           1	     131.055	     36.5234	      -12.75
     8.98211	           1	     135.352	     36.5234	        25.5
     8.96891	           1	     139.648	     40.8203	       21.25
     8.96349	           1	     143.945	    -2.14844	         -17
      8.9618	           1	     118.164	     36.5234	          34
     8.95745	           1	     131.055	     40.8203	       21.25
     8.95557	           1	     139.648	     27.9297	          34
     8.94598	           1	     139.648	    -6.44531	         -17
     8.94562	           1	     143.945	     27.9297	          34
     8.93624	           1	     135.352	     36.5234	       38.25
     8.92986	           1	     122.461	     32.2266	       29.75
      8.9231	           1	     139.648	     15.0391	       46.75
      8.9199	           1	     143.945	    -6.44531	      -29.75
     8.91819	           1	     148.242	     27.9297	       -4.25
     8.91586	           1	     122.461	     36.5234	       29.75
     8.91462	           1	     139.648	     19.3359	        42.5
      8.9144	           1	     118.164	     27.9297	       38.25
     8.91221	           1	     139.648	     36.5234	       29.75
     8.91112	           1	     148.242	     15.0391	      -29.75
     8.90984	           1	     131.055	     27.9297	          34
     8.90678	           1	     135.352	    -2.14844	         -17
     8.89995	           1	     152.539	     6.44531	         -34
     8.88704	           1	     118.164	     32.2266	       46.75
     8.88641	           1	     135.352	     36.5234	       -4.25
     8.88239	           1	     148.242	    -6.44531	      -12.75
     8.88097	           1	     143.945	     36.5234	        25.5
       8.875	           1	     135.352	     27.9297	          34
     8.86125	           1	     135.352	     23.6328	       38.25
     8.85035	           1	     131.055	     6.44531	      -38.25
     8.84869	           1	     152.539	    -2.14844	      -12.75
     8.84443	           1	     152.539	     10.7422	         -34
     8.84218	           1	     148.242	     23.6328	        42.5
     8.83725	           1	     131.055	     23.6328	        42.5
     8.83705	           1	     135.352	    -2.14844	         -34
     8.83673	           1	     148.242	    -2.14844	        -8.5
     8.83154	           1	     139.648	     2.14844	       -25.5
     8.82588	           1	     131.055	     36.5234	        25.5
     8.82124	           1	     139.648	     32.2266	       29.75
     8.80624	           1	     126.758	     27.9297	          34
     8.80497	           1	     126.758	     23.6328	       46.75
     8.78398	           1	     113.867	     36.5234	       38.25
     8.78196	           1	     135.352	     40.8203	       -4.25
     8.78096	           1	     148.242	    -2.14844	       -25.5
     8.77887	           1	     152.539	     27.9297	           0
     8.77485	           1	      109.57	     32.2266	       38.25
     8.77015	           1	     139.648	     2.14844	      -12.75
     8.76622	           1	     148.242	     32.2266	       21.25
     8.74028	           1	      109.57	     32.2266	          34
     8.72832	           1	     152.539	     2.14844	      -12.75
     8.72757	           1	     152.539	    -2.14844	        -8.5
     8.72578	           1	     131.055	     40.8203	         8.5
     8.72459	           1	     126.758	     36.5234	       21.25
     8.71779	           1	     139.648	    -6.44531	      -12.75
     8.69702	           1	     135.352	    -2.14844	      -12.75
     8.69274	           1	     143.945	     27.9297	       46.75
     8.68529	           1	     135.352	     2.14844	      -12.75
     8.67089	           1	     148.242	     32.2266	           0
     8.66838	           1	     152.539	    -2.14844	      -29.75
     8.66805	           1	     148.242	     2.14844	       -25.5
      8.6611	           1	     126.758	     36.5234	          17
     8.65934	           1	     148.242	     32.2266	       -4.25
     8.65053	           1	     148.242	     27.9297	           0
     8.64908	           1	     152.539	    -2.14844	         -17
      8.6473	           1	     152.539	     15.0391	      -29.75
     8.64458	           1	     139.648	     36.5234	       -4.25
     8.64385	           1	     143.945	     32.2266	          17
     8.64372	           1	     148.242	    -6.44531	      -21.25
      8.6422	           1	     139.648	    -10.7422	      -21.25
     8.64169	           1	     126.758	     36.5234	        25.5
     8.63782	           1	     131.055	    -2.14844	      -29.75
     8.63042	           1	     148.242	     27.9297	       38.25
     8.61758	           1	     139.648	     36.5234	        -8.5
     8.61691	           1	     139.648	     32.2266	       21.25
     8.60589	           1	     135.352	     32.2266	       46.75
     8.59702	           1	     131.055	     40.8203	       29.75
     8.58924	           1	     152.539	     19.3359	       -4.25
